CAND_NAME,STATE,CONTRIBUTION_AMT,Frequency
"Williamson, Marianne",IN,20,631
"Williamson, Marianne",IN,50,121
"Williamson, Marianne",IN,100,10
"Williamson, Marianne",IN,200,9
"Williamson, Marianne",IN,500,0
"Williamson, Marianne",IN,1000,0
"Williamson, Marianne",IN,1500,1
"Williamson, Marianne",IN,2000,0
"Williamson, Marianne",IN,2799,0
"Williamson, Marianne",KS,0,800
"Williamson, Marianne",KS,10,80
"Williamson, Marianne",KS,20,490
"Williamson, Marianne",KS,50,60
"Williamson, Marianne",KS,100,5
"Williamson, Marianne",KS,200,3
"Williamson, Marianne",KS,500,1
"Williamson, Marianne",KS,1000,0
"Williamson, Marianne",KS,1500,0
"Williamson, Marianne",KS,2000,0
"Williamson, Marianne",KS,2799,0
"Williamson, Marianne",KY,0,947
"Williamson, Marianne",KY,10,62
"Williamson, Marianne",KY,20,386
"Williamson, Marianne",KY,50,59
"Williamson, Marianne",KY,100,4
"Williamson, Marianne",KY,200,4
"Williamson, Marianne",KY,500,1
"Williamson, Marianne",KY,1000,0
"Williamson, Marianne",KY,1500,0
"Williamson, Marianne",KY,2000,0
"Williamson, Marianne",KY,2799,0
"Williamson, Marianne",LA,0,1037
"Williamson, Marianne",LA,10,105
"Williamson, Marianne",LA,20,379
"Williamson, Marianne",LA,50,81
"Williamson, Marianne",LA,100,4
"Williamson, Marianne",LA,200,3
"Williamson, Marianne",LA,500,1
"Williamson, Marianne",LA,1000,1
"Williamson, Marianne",LA,1500,1
"Williamson, Marianne",LA,2000,0
"Williamson, Marianne",LA,2799,0
"Williamson, Marianne",MA,0,5563
"Williamson, Marianne",MA,10,618
"Williamson, Marianne",MA,20,2794
"Williamson, Marianne",MA,50,433
"Williamson, Marianne",MA,100,53
"Williamson, Marianne",MA,200,104
"Williamson, Marianne",MA,500,18
"Williamson, Marianne",MA,1000,0
"Williamson, Marianne",MA,1500,0
"Williamson, Marianne",MA,2000,2
"Williamson, Marianne",MA,2799,2
"Williamson, Marianne",MD,0,3208
"Williamson, Marianne",MD,10,302
"Williamson, Marianne",MD,20,1500
"Williamson, Marianne",MD,50,308
"Williamson, Marianne",MD,100,32
"Williamson, Marianne",MD,200,44
"Williamson, Marianne",MD,500,6
"Williamson, Marianne",MD,1000,0
"Williamson, Marianne",MD,1500,0
"Williamson, Marianne",MD,2000,1
"Williamson, Marianne",MD,2799,0
"Williamson, Marianne",ME,0,1305
"Williamson, Marianne",ME,10,142
"Williamson, Marianne",ME,20,625
"Williamson, Marianne",ME,50,82
"Williamson, Marianne",ME,100,4
"Williamson, Marianne",ME,200,17
"Williamson, Marianne",ME,500,3
"Williamson, Marianne",ME,1000,1
"Williamson, Marianne",ME,1500,0
"Williamson, Marianne",ME,2000,0
"Williamson, Marianne",ME,2799,0
"Williamson, Marianne",MI,0,5059
"Williamson, Marianne",MI,10,565
"Williamson, Marianne",MI,20,2713
"Williamson, Marianne",MI,50,359
"Williamson, Marianne",MI,100,25
"Williamson, Marianne",MI,200,28
"Williamson, Marianne",MI,500,5
"Williamson, Marianne",MI,1000,1
"Williamson, Marianne",MI,1500,0
"Williamson, Marianne",MI,2000,2
"Williamson, Marianne",MI,2799,2
"Williamson, Marianne",MN,0,2572
